id,name,designation,company
1520,Sutapa Banerjee,Independent Director,godrejproperties
1521,Krishna Prasad Chigurupati,Chairman & Managing Director,granulesindia
1522,Uma Devi Chigurupati,Executive Director,granulesindia
1523,Arun Sawhney,Ind. Non-Executive Director,granulesindia
1524,Jyothi Prasad,Ind. Non-Executive Director,granulesindia
1525,Harsha Chigurupati,Executive Director,granulesindia
1526,Arun Rao Akinepally,Ind. Non-Executive Director,granulesindia
1527,Robert George Cunard,Ind. Non-Executive Director,granulesindia
1528,K B Sankar Rao,Non Exe.Non Ind.Director,granulesindia
1529,K K Bangur,Chairman,graphiteindia
1530,S W Pamerkar,CFO & Executive Vice President,graphiteindia
1531,N S Damani,Ind. Non-Executive Director,graphiteindia
1532,Gaurav Swarup,Ind. Non-Executive Director,graphiteindia
1533,A V Lodha,Non Exe.Non Ind.Director,graphiteindia
1534,Ashutosh Dixit,Executive Director,graphiteindia
1535,P K Khaitan,Ind. Non-Executive Director,graphiteindia
1536,N Venkataramani,Ind. Non-Executive Director,graphiteindia
1537,Sudha Krishnan,Independent Director,graphiteindia
1538,Kumar Mangalam Birla,Chairman,grasimindustries
1539,Rajashree Birla,Non Executive Director,grasimindustries
1540,Santrupt Misra,Non Executive Director,grasimindustries
1541,Cyril Shroff,Independent Director,grasimindustries
1542,O P Rungta,Independent Director,grasimindustries
1543,V Chandrasekaran,Independent Director,grasimindustries
1544,Adesh Kumar Gupta,Independent Director,grasimindustries
1545,Dilip Gaur,Managing Director,grasimindustries
1546,Shailendra K Jain,Non Executive Director,grasimindustries
1547,Vipin Anand,Non Executive Director,grasimindustries
1548,Thomas Connelly Jr,Independent Director,grasimindustries
1549,Arun Thiagarajan,Independent Director,grasimindustries
1550,N Mohanraj,Independent Director,grasimindustries
1551,Karan Thapar,Chairman,greavescotton
1552,Ajit Venkataraman,Executive Director,greavescotton
1553,Kewal Handa,Director,greavescotton
1554,Vinay Sanghi,Director,greavescotton
1555,Nagesh Basavanhalli,Managing Director & Group CEO,greavescotton
1556,Arvind Kumar Singhal,Director,greavescotton
1557,Sree Patel,Director,greavescotton
1558,Subbu Venkata Rama Behara,Director,greavescotton
1559,Keki Elavia,Chairman,grindwellnorton
1560,Laurent Guillot,Director,grindwellnorton
1561,Archana Hingorani,Director,grindwellnorton
1562,Laurent Tellier,Director,grindwellnorton
1563,Anand Mahajan,Director,grindwellnorton
1564,B Santhanam,Managing Director,grindwellnorton
1565,Sreedhar Natarajan,Director,grindwellnorton
1566,Subodh Nadkarni,Director,grindwellnorton
1567,Isabelle Hoepfner,Director,grindwellnorton
1568,Krishna Prasad,Alternate Director,grindwellnorton
1569,Anil Mukim,Chairman,gujaratstatefertilizerschemicals
1570,Ravindra Dholakia,Director,gujaratstatefertilizerschemicals
1571,Gauri Kumar,Director,gujaratstatefertilizerschemicals
1572,Jayaben Thakkar,Director,gujaratstatefertilizerschemicals
1573,Mamta Verma,Director,gujaratstatefertilizerschemicals
1574,Mukesh Puri,Managing Director,gujaratstatefertilizerschemicals
1575,Tapan Ray,Director,gujaratstatefertilizerschemicals
1576,Sudhir Kumar Jain,Director,gujaratstatefertilizerschemicals
1577,Pankaj Joshi,Director,gujaratstatefertilizerschemicals
1578,Anil Mukim,Chairman,gujaratalkalieschemicals
1579,Rajiv Lochan Jain,Independent Director,gujaratalkalieschemicals
1580,Vasuben Trivedi,Independent Director,gujaratalkalieschemicals
1581,Pankaj Joshi,Director,gujaratalkalieschemicals
1582,Milind Torawane,Managing Director,gujaratalkalieschemicals
1583,Tapan Ray,Independent Director,gujaratalkalieschemicals
1584,S B Dangayach,Independent Director,gujaratalkalieschemicals
1585,M K Das,Director,gujaratalkalieschemicals
1586,Sanjay Dalmia,Non Executive Chairman,gujaratheavychemicals
1587,R S Jalan,Managing Director,gujaratheavychemicals
1588,Neelabh Dalmia,Executive Director,gujaratheavychemicals
1589,Vijaylaxmi Joshi,Independent Director,gujaratheavychemicals
1590,Arun Kumar Jain,Independent Director,gujaratheavychemicals
1591,Anurag Dalmia,Non Executive Vice Chairman,gujaratheavychemicals
1592,Raman Chopra,Executive Director (Finance) & CFO,gujaratheavychemicals
1593,Lavanya Rastogi,Independent Director,gujaratheavychemicals
1594,Ravindra Singh,Independent Director,gujaratheavychemicals
1595,Manoj Vaish,Independent Director,gujaratheavychemicals
1596,Anil Mukim,Chairman & Managing Director,gujaratstatepetronet
1597,Pankaj Joshi,Non Executive Director,gujaratstatepetronet
1598,Rajiv Kumar Gupta,Non Executive Director,gujaratstatepetronet
1599,Bakul Dholakia,Independent Director,gujaratstatepetronet
1600,Bhadresh Mehta,Independent Director,gujaratstatepetronet
1601,Shridevi Shukla,Independent Woman Director,gujaratstatepetronet
1602,Sanjeev Kumar,Joint Managing Director,gujaratstatepetronet
1603,M M Srivastava,Non Executive Director,gujaratstatepetronet
1604,Yogesh Singh,Independent Director,gujaratstatepetronet
1605,Sudhir Kumar Jain,Independent Director,gujaratstatepetronet
1606,Bimal N Patel,Independent Director,gujaratstatepetronet
1607,Devendra Kumar Jain,Chairman & Non Independent Director,gujaratfluorochemicalslimited
1608,Sanjay Borwankar,Whole Time Director,gujaratfluorochemicalslimited
1609,Niraj Agnihotri,Whole Time Director,gujaratfluorochemicalslimited
1610,Shanti Prashad Jain,Independent Director,gujaratfluorochemicalslimited
1611,Chandra Prakash Jain,Independent Director,gujaratfluorochemicalslimited
1612,Vivek Kumar Jain,Managing Director,gujaratfluorochemicalslimited
1613,Sanath Kumar Muppirala,Whole Time Director,gujaratfluorochemicalslimited
1614,Shailendra Swarup,Independent Director,gujaratfluorochemicalslimited
1615,Om Prakash Lohia,Independent Director,gujaratfluorochemicalslimited
1616,Vanita Bhargava,Independent Director,gujaratfluorochemicalslimited
1617,Anil Mukim,Chairman,gujaratgas
1618,Jal Patel,Director,gujaratgas
1619,K D Chatterjee,Director,gujaratgas
1620,Rajiv Kumar Gupta,Director,gujaratgas
1621,Bhadresh Mehta,Director,gujaratgas
1622,Sanjeev Kumar,Managing Director,gujaratgas
1623,Milind Torawane,Director,gujaratgas
1624,Manjula Subramaniam,Director,gujaratgas
1625,Yogesh Singh,Director,gujaratgas
1626,Tejpreet Singh Chopra,Chairman,gujaratpipavavport
1627,Hina Shah,Director,gujaratpipavavport
1628,Keld Pedersen,Director,gujaratpipavavport
1629,Pradeep Mallick,Director,gujaratpipavavport
1630,Samir Chaturvedi,Director,gujaratpipavavport
1631,Avantika Singh Aulakh,Nominee Director,gujaratpipavavport
1632,Jakob Friis Sorensen,Managing Director,gujaratpipavavport
1633,Julian Bevis,Director,gujaratpipavavport
1634,Maarten Degryse,Director,gujaratpipavavport
1635,Soren Brandt,Director,gujaratpipavavport
1636,Timothy Smith,Director,gujaratpipavavport
1637,Sanjay G Hinduja,Chairman & Non-Exe.Director,gulfoillubricantsindia
1638,Shom A Hinduja,Non Executive Director,gulfoillubricantsindia
1639,Arvind Uppal,Ind. Non-Executive Director,gulfoillubricantsindia
1640,Ravi Chawla,Managing Director & CEO,gulfoillubricantsindia
1641,Manju Agarwal,Ind. Non-Executive Director,gulfoillubricantsindia
1642,Munesh Khanna,Ind. Non-Executive Director,gulfoillubricantsindia
1643,Sridhar Gorthi,Chairman & Ind.Director,hathwaycabledatacom
1644,Anuj Jain,Non Executive Director,hathwaycabledatacom
1645,Geeta Fulwadaya,Non Executive Director,hathwaycabledatacom
1646,Akshay Raheja,Non Executive Director,hathwaycabledatacom
1647,Sasha Mirchandani,Independent Director,hathwaycabledatacom
1648,Rajan Gupta,Managing Director,hathwaycabledatacom
1649,Saurabh Sancheti,Non Executive Director,hathwaycabledatacom
1650,Viren Raheja,Non Executive Director,hathwaycabledatacom
1651,Ameeta Parpia,Independent Director,hathwaycabledatacom
1652,R G Chandramogan,Chairman,hatsunagroproducts
1653,K S Thanarajan,Non Executive Director,hatsunagroproducts
1654,D Sathyanarayan,Non Executive Director,hatsunagroproducts
1655,B Thenamuthan,Independent Director,hatsunagroproducts
1656,Chalini Madhivanan,Independent Woman Director,hatsunagroproducts
1657,C Sathyan,Managing Director,hatsunagroproducts
1658,P Vaidyanathan,Non Executive Director,hatsunagroproducts
1659,Balaji Tammineedi,Independent Director,hatsunagroproducts
1660,S Subramanian,Independent Director,hatsunagroproducts
1661,Anil Rai Gupta,Chairman & Managing Director,havellsindia
1662,Ameet Kumar Gupta,Whole Time Director,havellsindia
1663,Surjit Kumar Gupta,Non Exe.Non Ind.Director,havellsindia
1664,T V Mohandas Pai,Non Exe.Non Ind.Director,havellsindia
1665,Vivek Mehra,Independent Director,havellsindia
1666,Jalaj Ashwin Dani,Independent Director,havellsindia
1667,Upendra Kumar Sinha,Independent Director,havellsindia
1668,Namrata Kaul,Independent Director,havellsindia
1669,Rajesh Kumar Gupta,Whole-time Director (Finance) and Group CFO,havellsindia
1670,Siddhartha Pandit,Whole Time Director,havellsindia
1671,Puneet Bhatia,Non Exe.Non Ind.Director,havellsindia
1672,B Prasada Rao,Independent Director,havellsindia
1673,Pratima Ram,Independent Director,havellsindia
1674,Subhash S Mundra,Independent Director,havellsindia
1675,Ashish Bharat Ram,Independent Director,havellsindia
1676,Subhadip Dutta Choudhury,Chairman & CEO,hawkinscooker
1677,Gerson da Cunha,Director,hawkinscooker
1678,E A Kshirsagar,Director,hawkinscooker
1679,Ravi Kant,Director,hawkinscooker
1680,Sudeep Yadav,Vice Chairman & CFO,hawkinscooker
1681,V N Sharma,Director,hawkinscooker
1682,Susan M Vasudeva,Director,hawkinscooker
1683,Leena Chatterjee,Director,hawkinscooker
1684,Roshni Nadar Malhotra,Chairperson,hcltechnologies
1685,Shikhar Malhotra,Non Exe.Non Ind.Director,hcltechnologies
1686,Robin Ann Abrams,Ind. Non-Executive Director,hcltechnologies
1687,Subramanian Madhavan,Ind. Non-Executive Director,hcltechnologies
1688,Nishi Vasudeva,Ind. Non-Executive Director,hcltechnologies
1689,Mohan Chellappa,Ind. Non-Executive Director,hcltechnologies
1690,Shiv Nadar,Managing Director,hcltechnologies
1691,R Srinivasan,Ind. Non-Executive Director,hcltechnologies
1692,Sosale Shankara Sastry,Ind. Non-Executive Director,hcltechnologies
1693,Thomas Sieber,Ind. Non-Executive Director,hcltechnologies
1694,Deepak Kapoor,Ind. Non-Executive Director,hcltechnologies
1695,Simon England,Ind. Non-Executive Director,hcltechnologies
1696,Deepak S Parekh,Chairman,housingdevelopmentfinancecorporation
1697,Renu Sud Karnad,Managing Director,housingdevelopmentfinancecorporation
1698,J J Irani,Director,housingdevelopmentfinancecorporation
1699,U K Sinha,Director,housingdevelopmentfinancecorporation
1700,Ireena Vittal,Director,housingdevelopmentfinancecorporation
1701,Keki M Mistry,Vice Chairman & CEO,housingdevelopmentfinancecorporation
1702,V Srinivasa Rangan,Executive Director & CFO,housingdevelopmentfinancecorporation
1703,Jalaj Dani,Director,housingdevelopmentfinancecorporation
1704,Bhaskar Ghosh,Director,housingdevelopmentfinancecorporation
1705,Nasser Munjee,Director,housingdevelopmentfinancecorporation
1706,Deepak S Parekh,Chairman & Non-Exe.Director,hdfcassetmanagementcompany
1707,Rushad Abadan,Non Exe.Non Ind.Director,hdfcassetmanagementcompany
1708,James Aird,Non Executive Director,hdfcassetmanagementcompany
1709,Dhruv Kaji,Independent Director,hdfcassetmanagementcompany
1710,Parag Shah,Independent Director,hdfcassetmanagementcompany
1711,Shashi Kant Sharma,Independent Director,hdfcassetmanagementcompany
1712,Navneet Munot,Managing Director & CEO,hdfcassetmanagementcompany
1713,Keki Mistry,Non Executive Director,hdfcassetmanagementcompany
1714,Renu S Karnad,Non Executive Director,hdfcassetmanagementcompany
1715,Jairaj Purandare,Independent Director,hdfcassetmanagementcompany
1716,Roshni Nadar Malhotra,Independent Director,hdfcassetmanagementcompany
1717,Sanjay Bhandarkar,Independent Director,hdfcassetmanagementcompany
1718,Atanu Chakraborty,Non Exe.Part Time Chairperson,hdfcbank
1719,Kaizad Bharucha,Executive Director,hdfcbank
1720,Renu Karnad,Non Executive Director,hdfcbank
1721,Malay Patel,Independent Director,hdfcbank
1722,Umesh Chandra Sarangi,Independent Director,hdfcbank
1723,Sunita Maheshwari,Independent Director,hdfcbank
1724,Sashidhar Jagdishan,Managing Director & CEO,hdfcbank
1725,Srikanth Nadhamuni,Non Executive Director,hdfcbank
1726,Sanjiv Sachar,Independent Director,hdfcbank
1727,M D Ranganath,Independent Director,hdfcbank
1728,Sandeep Parekh,Independent Director,hdfcbank
1729,Deepak S Parekh,Chairman,hdfclifeinsurancecompany
1730,Suresh Badami,Executive Director,hdfclifeinsurancecompany
1731,V K Viswanathan,Director,hdfclifeinsurancecompany
1732,Renu Sud Karnad,Director,hdfclifeinsurancecompany
1733,Ketan Dalal,Director,hdfclifeinsurancecompany
1734,Sumit Bose,Director,hdfclifeinsurancecompany
1735,Vibha Padalkar,Managing Director & CEO,hdfclifeinsurancecompany
1736,Prasad Chandran,Director,hdfclifeinsurancecompany
1737,Keki M Mistry,Director,hdfclifeinsurancecompany
1738,Bharti Gupta Ramola,Director,hdfclifeinsurancecompany
1739,Ranjan Mathai,Director,hdfclifeinsurancecompany
1740,L N Jhunjhunwala,Chairman Emeritus,heg
1741,Riju Jhunjhunwala,Vice Chairman,heg
1742,Kamal Gupta,Director,heg
1743,O P Bahl,Director,heg
1744,Ramni Nirula,Director,heg
1745,Ravi Jhunjhunwala,Chairman & M.D & CEO,heg
1746,Manish Gulati,Executive Director,heg
1747,Vinita Singhania,Director,heg
1748,Satish Chand Mehta,Director,heg
1749,Jayant Davar,Director,heg
1750,Akila Krishnakumar,Chairperson & Independent Director,heidelbergcementindia
1751,Sushil Kumar Tiwari,Whole Time Director,heidelbergcementindia
1752,Kevin Gerard Gluskie,Non Executive Director,heidelbergcementindia
1753,Jyoti Narang,Independent Director,heidelbergcementindia
1754,Jamshed Naval Cooper,Managing Director,heidelbergcementindia
1755,Soek Peng Sim,Non Executive Director,heidelbergcementindia
1756,Ramakrishnan Ramamurthy,Independent Director,heidelbergcementindia
1757,Pawan Munjal,Chairman & M.D & CEO,heromotocorp
1758,Suman Kant Munjal,Non Executive Director,heromotocorp
1759,M Damodaran,Ind. Non-Executive Director,heromotocorp
1760,Tina Trikha,Ind. Non-Executive Director,heromotocorp
1761,Vikram S Kasbekar,Executive Director,heromotocorp
1762,Pradeep Dinodia,Non Executive Director,heromotocorp
1763,Jagmohan Singh Raju,Ind. Non-Executive Director,heromotocorp
1764,Air Chief Marshal B S Dhanoa,Independent Director,heromotocorp
1765,Mahendra Nahata,Managing Director,hfcl
1766,Bharat Pal Singh,Independent Director,hfcl
1767,Arvind Kharabanda,Non Executive Director,hfcl
1768,Ramakrishna Eda,Non Exe. & Nominee Director,hfcl
1769,Surendra Singh Sirohi,Independent Director,hfcl
1770,Tamali Sengupta,Independent Director,hfcl
1771,Ranjeet Mal Kastia,Non Executive Director,hfcl
1772,Jai Hiremath,Chairman & Managing Director,hikal
1773,Sugandha Hiremath,Director,hikal
1774,Ranjit Shahani,Director,hikal
1775,Amit Kalyani,Director,hikal
1776,Prakash Mehta,Director,hikal
1777,Sameer Hiremath,Joint Managing Director & CEO,hikal
1778,Shivani Sachdeva,Director,hikal
1779,Kannan Unni,Director,hikal
1780,Baba Kalyani,Director,hikal
1781,Ravindra Kumar Goyal,Director,hikal
1782,Arun Kumar Shukla,Chairman & Managing Director,hindustancopper
1783,Pawan Kumar Dhawan,Independent Director,hindustancopper
1784,Sukhen Kumar Bandyopadhyay,Director - Finance & CFO,hindustancopper
1785,Shakil Alam,Government Nominee Director,hindustancopper
1786,R Kalyansundaram,Independent Director,hindustancopper
1787,Balwinder Singh Canth,Independent Director,hindustancopper
1788,Sanjay Panjiyar,Director - Operations,hindustancopper
1789,Sanjeev Varma,Government Nominee Director,hindustancopper
1790,Kiran Agarwal,Chairman,hindustanzinc
1791,Navin Agarwal,Director,hindustanzinc
1792,Farida M Naik,Director,hindustanzinc
1793,Akhilesh Joshi,Director,hindustanzinc
1794,Arun Misra,WholeTime Director & CEO,hindustanzinc
1795,Yatinder Prasad,Director,hindustanzinc
1796,Anjani Kumar Agrawal,Director,hindustanzinc
1797,Kumar Mangalam Birla,Non Executive Chairman,hindalcoindustries
1798,Satish Pai,Managing Director,hindalcoindustries
1799,Rajashree Birla,Non Executive Director,hindalcoindustries
1800,Askaran Agarwala,Non Executive Director,hindalcoindustries
1801,Alka Bharucha,Independent Director,hindalcoindustries
1802,Sudhir Mital,Independent Director,hindalcoindustries
1803,Debnarayan Bhattacharya,Non Executive Vice Chairman,hindalcoindustries
1804,Praveen Kumar Maheshwari,WholeTime Director & CFO,hindalcoindustries
1805,Kailash Nath Bhandari,Independent Director,hindalcoindustries
1806,Yazdi Piroj Dandiwala,Independent Director,hindalcoindustries
1807,Vikas Balia,Independent Director,hindalcoindustries
1808,Anant Maheshwari,Independent Director,hindalcoindustries
1809,R Madhavan,Chairman & Managing Director,hindustanaeronauticsltd
1810,M S Velpari,Director - Operations,hindustanaeronauticsltd
1811,Arup Chatterjee,Director,hindustanaeronauticsltd
1812,S Malla Reddy,Independent Director,hindustanaeronauticsltd
1813,Tessy Thomas,Government Nominee Director,hindustanaeronauticsltd
1814,C B Ananthakrishnan,Director - Finance & CFO,hindustanaeronauticsltd
1815,Alok Verma,Director - Human Resources,hindustanaeronauticsltd
1816,K C Sekhar,Independent Director,hindustanaeronauticsltd
1817,Chandraker Bharti,Government Nominee Director,hindustanaeronauticsltd
1818,Ganesh Natarajan,Chairman & Ind.Director,honeywellautomation
1819,Neera Saggi,Independent Director,honeywellautomation
